frame.number,frame.time_relative,ip.src,ip.dst,ip.proto,frame.len
"4979","200.911000000","122.13.172.153","10.8.0.2","17","193"
"4980","200.959000000","10.8.0.2","122.13.172.153","17","96"
"4981","200.986000000","122.13.172.153","10.8.0.2","17","164"
"4982","201.047000000","10.8.0.2","122.13.172.153","17","113"
"4983","201.075000000","122.13.172.153","10.8.0.2","17","189"
"4984","201.127000000","10.8.0.2","122.13.172.153","17","125"
"4985","201.145000000","122.13.172.153","10.8.0.2","17","193"
"4986","201.208000000","10.8.0.2","122.13.172.153","17","113"
"4987","201.227000000","122.13.172.153","10.8.0.2","17","196"
"4988","201.284000000","10.8.0.2","122.13.172.153","17","96"
"4989","201.309000000","122.13.172.153","10.8.0.2","17","217"
"4990","201.358000000","10.8.0.2","122.13.172.153","17","125"
"4991","201.384000000","122.13.172.153","10.8.0.2","17","180"
"4992","201.440000000","10.8.0.2","122.13.172.153","17","113"
"4993","201.468000000","122.13.172.153","10.8.0.2","17","184"
"4994","201.521000000","10.8.0.2","122.13.172.153","17","120"
"4995","201.548000000","122.13.172.153","10.8.0.2","17","335"
"4996","201.600000000","10.8.0.2","122.13.172.153","17","118"
"4997","201.624000000","122.13.172.153","10.8.0.2","17","324"
"4998","201.676000000","10.8.0.2","122.13.172.153","17","96"
"4999","201.720000000","122.13.172.153","10.8.0.2","17","305"
"5000","201.760000000","10.8.0.2","122.13.172.153","17","120"
"5001","201.788000000","122.13.172.153","10.8.0.2","17","319"
"5002","201.845000000","10.8.0.2","122.13.172.153","17","118"
"5003","201.871000000","122.13.172.153","10.8.0.2","17","354"
"5004","201.927000000","10.8.0.2","122.13.172.153","17","120"
"5005","201.945000000","122.13.172.153","10.8.0.2","17","305"
"5006","202.005000000","10.8.0.2","122.13.172.153","17","96"
"5007","202.032000000","122.13.172.153","10.8.0.2","17","285"
"5008","202.080000000","10.8.0.2","122.13.172.153","17","118"
"5009","202.105000000","122.13.172.153","10.8.0.2","17","380"
"5010","202.161000000","10.8.0.2","122.13.172.153","17","120"
"5011","202.186000000","122.13.172.153","10.8.0.2","17","319"
"5012","202.187000000","10.8.0.2","122.13.172.153","17","406"
"5013","202.195000000","122.13.172.153","10.8.0.2","17","55"
"5014","202.238000000","10.8.0.2","122.13.172.153","17","96"
"5015","202.273000000","122.13.172.153","10.8.0.2","17","346"
"5016","202.321000000","10.8.0.2","122.13.172.153","17","125"
"5017","202.347000000","122.13.172.153","10.8.0.2","17","287"
"5018","202.404000000","10.8.0.2","122.13.172.153","17","113"
"5019","202.427000000","122.13.172.153","10.8.0.2","17","334"
"5020","202.484000000","10.8.0.2","122.13.172.153","17","120"
"5021","202.511000000","122.13.172.153","10.8.0.2","17","335"
"5022","202.559000000","10.8.0.2","122.13.172.153","17","101"
